What is the capital of Alabama?,Montgomery,Geography
What is the capital of Alaska?,Juneau,Geography
What is the capital of Arizona?,Phoenix,Geography
What is the capital of Arkansas?,Little Rock,Geography
What is the capital of California?,Sacramento,Geography
What is the capital of Colorado?,Denver,Geography
What is the capital of Connecticut?,Hartford,Geography
What is the capital of Delaware?,Dover,Geography
What is the capital of Florida?,Tallahassee,Geography
What is the capital of Georgia?,Atlanta,Geography
What is the capital of Hawaii?,Honolulu,Geography
What is the capital of Idaho?,Boise,Geography
What is the capital of Illinois?,Springfield,Geography
What is the capital of Indiana?,Indianapolis,Geography
What is the capital of Iowa?,Des Moines,Geography
What is the capital of Kansas?,Topeka,Geography
What is the capital of Kentucky?,Frankfort,Geography
What is the capital of Louisiana?,Baton Rouge,Geography
What is the capital of Maine?,Augusta,Geography
What is the capital of Maryland?,Annapolis,Geography
What is the capital of Massachusetts?,Boston,Geography
What is the capital of Michigan?,Lansing,Geography
What is the capital of Minnesota?,St. Paul,Geography
What is the capital of Mississippi?,Jackson,Geography
What is the capital of Missouri?,Jefferson City,Geography
What is the capital of Montana?,Helena,Geography
What is the capital of Nebraska?,Lincoln,Geography
What is the capital of Nevada?,Carson City,Geography
What is the capital of New Hampshire?,Concord,Geography
What is the capital of New Jersey?,Trenton,Geography
What is the capital of New Mexico?,Santa Fe,Geography
What is the capital of New York?,Albany,Geography
What is the capital of North Carolina?,Raleigh,Geography
What is the capital of North Dakota?,Bismarck,Geography
What is the capital of Ohio?,Columbus,Geography
What is the capital of Oklahoma?,Oklahoma City,Geography
What is the capital of Oregon?,Salem,Geography
What is the capital of Pennsylvania?,Harrisburg,Geography
What is the capital of Rhode Island?,Providence,Geography
What is the capital of South Carolina?,Columbia,Geography
What is the capital of South Dakota?,Pierre,Geography
What is the capital of Tennessee?,Nashville,Geography
What is the capital of Texas?,Austin,Geography
What is the capital of Utah?,Salt Lake City,Geography
What is the capital of Vermont?,Montpelier,Geography
What is the capital of Virginia?,Richmond,Geography
What is the capital of Washington?,Olympia,Geography
What is the capital of West Virginia?,Charleston,Geography
What is the capital of Wisconsin?,Madison,Geography
What is the capital of Wyoming?,Cheyenne,Geography